industry_name,employees_at_location_range,product_type,product,currency,year,spend
"Finance, Insurance, and Real Estate",Medium 50 - 249,IP Voice,IP Voice,EUR,2010,1994.636888
Services,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,944.4227022
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,IP Voice,IP Voice,EUR,2010,539.5297822
Manufacturing,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,857.3098137
Construction,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,593.2564365
Wholesale & retail trade,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,621.8275464
Transportation and Public Utilities,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,926.2007355
Public Administration,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,2040.465528
Nonclassified Establishments,Medium 50 - 249,IP Voice,IP Voice,EUR,2010,583.7591541
"Finance, Insurance, and Real Estate",Large 250 +,IP Voice,IP Voice,EUR,2010,26207.85905
Services,Large 250 +,IP Voice,IP Voice,EUR,2010,7471.699643
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,IP Voice,IP Voice,EUR,2010,3669.700171
Manufacturing,Large 250 +,IP Voice,IP Voice,EUR,2010,10616.84018
Construction,Large 250 +,IP Voice,IP Voice,EUR,2010,6960.663317
Wholesale & retail trade,Large 250 +,IP Voice,IP Voice,EUR,2010,18308.39555
Transportation and Public Utilities,Large 250 +,IP Voice,IP Voice,EUR,2010,15358.0219
Public Administration,Large 250 +,IP Voice,IP Voice,EUR,2010,28897.54366
Nonclassified Establishments,Large 250 +,IP Voice,IP Voice,EUR,2010,6608.164352
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Services,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Manufacturing,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Construction,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Public Administration,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2010,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Ethernet,EUR,2010,21.41400233
Services,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,21.57987067
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Ethernet,EUR,2010,14.19607244
Manufacturing,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,24.3772798
Construction,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,14.92655978
Wholesale & retail trade,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,15.89012579
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,24.00097255
Public Administration,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,13.79410224
Nonclassified Establishments,Small 10 - 49,Wireline Data,Ethernet,EUR,2010,14.90079419
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,1328.643172
Services,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,629.08732
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,359.3849914
Manufacturing,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,571.0607462
Construction,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,395.1727344
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,414.2041734
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,616.949526
Public Administration,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,1359.169986
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Ethernet,EUR,2010,388.8465206
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Ethernet,EUR,2010,58446.00737
Services,Large 250 +,Wireline Data,Ethernet,EUR,2010,16662.59772
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Ethernet,EUR,2010,8183.778873
Manufacturing,Large 250 +,Wireline Data,Ethernet,EUR,2010,23676.55893
Construction,Large 250 +,Wireline Data,Ethernet,EUR,2010,15522.93832
Wholesale & retail trade,Large 250 +,Wireline Data,Ethernet,EUR,2010,40829.45573
Transportation and Public Utilities,Large 250 +,Wireline Data,Ethernet,EUR,2010,34249.84311
Public Administration,Large 250 +,Wireline Data,Ethernet,EUR,2010,64444.25874
Nonclassified Establishments,Large 250 +,Wireline Data,Ethernet,EUR,2010,14736.83225
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,219.1177831
Services,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,245.5324144
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,164.8203223
Manufacturing,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,222.760722
Construction,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,171.0916198
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,164.8403448
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,238.29843
Public Administration,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,114.7143046
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2010,170.6061302
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Internet Access,EUR,2010,1134.219233
Services,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,1143.004656
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Internet Access,EUR,2010,751.912611
Manufacturing,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,1291.172905
Construction,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,790.6037802
Wholesale & retail trade,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,841.6402507
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,1271.241325
Public Administration,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,730.62176
Nonclassified Establishments,Small 10 - 49,Wireline Data,Internet Access,EUR,2010,789.2390738
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,10363.47961
Services,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,4906.910863
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,2803.219939
Manufacturing,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,4454.300842
Construction,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,3082.366027
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,3230.812151
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,4812.235496
Public Administration,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,10601.5902
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Internet Access,EUR,2010,3033.02126
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Internet Access,EUR,2010,86630.27122
Services,Large 250 +,Wireline Data,Internet Access,EUR,2010,24697.75823
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Internet Access,EUR,2010,12130.22096
Manufacturing,Large 250 +,Wireline Data,Internet Access,EUR,2010,35094.04344
Construction,Large 250 +,Wireline Data,Internet Access,EUR,2010,23008.52388
Wholesale & retail trade,Large 250 +,Wireline Data,Internet Access,EUR,2010,60518.53639
Transportation and Public Utilities,Large 250 +,Wireline Data,Internet Access,EUR,2010,50766.05455
Public Administration,Large 250 +,Wireline Data,Internet Access,EUR,2010,95521.04352
Nonclassified Establishments,Large 250 +,Wireline Data,Internet Access,EUR,2010,21843.33596
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Services,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Manufacturing,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Construction,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Public Administration,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2010,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,193.418076
Services,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,194.9162516
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,128.2234389
Manufacturing,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,220.1833401
Construction,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,134.8214327
Wholesale & retail trade,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,143.5246672
Transportation and Public Utilities,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,216.7844134
Public Administration,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,124.5927163
Nonclassified Establishments,Small 10 - 49,Wireline Data,IP-VPN,EUR,2010,134.5887097
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,10369.55634
Services,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,4909.788079
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,2804.863635
Manufacturing,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,4456.912666
Construction,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,3084.173403
Wholesale & retail trade,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,3232.70657
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,4815.057198
Public Administration,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,10607.80655
Nonclassified Establishments,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2010,3034.799703
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,IP-VPN,EUR,2010,145847.2712
Services,Large 250 +,Wireline Data,IP-VPN,EUR,2010,41580.16121
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,IP-VPN,EUR,2010,20421.95645
Manufacturing,Large 250 +,Wireline Data,IP-VPN,EUR,2010,59082.93257
Construction,Large 250 +,Wireline Data,IP-VPN,EUR,2010,38736.23361
Wholesale & retail trade,Large 250 +,Wireline Data,IP-VPN,EUR,2010,101886.5954
Transportation and Public Utilities,Large 250 +,Wireline Data,IP-VPN,EUR,2010,85467.70572
Public Administration,Large 250 +,Wireline Data,IP-VPN,EUR,2010,160815.4211
Nonclassified Establishments,Large 250 +,Wireline Data,IP-VPN,EUR,2010,36774.56967
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Services,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Manufacturing,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Construction,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Public Administration,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2010,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,108.0744002
Services,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,108.9115217
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,71.64620565
Manufacturing,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,123.0297752
Construction,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,75.33290464
Wholesale & retail trade,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,80.19592916
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,121.1305889
Public Administration,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,69.6175009
Nonclassified Establishments,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2010,75.20286821
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,3074.983619
Services,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,1455.946371
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,831.7530132
Manufacturing,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,1321.650897
Construction,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,914.5794076
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,958.6253669
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,1427.854917
Public Administration,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,3145.634231
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2010,899.9381524
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,40113.29358
Services,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,11436.05362
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,5616.779303
Manufacturing,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,16249.95106
Construction,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,10653.8703
Wholesale & retail trade,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,28022.51203
Transportation and Public Utilities,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,23506.7214
Public Administration,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,44230.0781
Nonclassified Establishments,Large 250 +,Wireline Data,Legacy Data Services,EUR,2010,10114.34151
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,434.3810567
Services,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,486.7456585
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,326.7412839
Manufacturing,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,441.6028514
Construction,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,339.1735601
Wholesale & retail trade,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,326.7809765
Transportation and Public Utilities,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,472.4049428
