industry_name,employees_at_location_range,product_type,product,currency,year,spend
Services,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
Manufacturing,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
Construction,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
Public Administration,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2012,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,65.46431894
Services,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,65.97139174
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,43.39852962
Manufacturing,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,74.52329534
Construction,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,45.63168787
Wholesale & retail trade,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,48.57738627
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,73.37289397
Public Administration,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,42.16967455
Nonclassified Establishments,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2012,45.55292041
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,1951.980824
Services,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,924.2258653
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,527.9917336
Manufacturing,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,838.9759188
Construction,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,580.569423
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,608.529529
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,906.3935822
Public Administration,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,1996.829401
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2012,571.2752436
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,23219.39818
Services,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,6619.707802
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,3251.247242
Manufacturing,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,9406.210518
Construction,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,6166.944533
Wholesale & retail trade,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,16220.70408
Transportation and Public Utilities,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,13606.75914
Public Administration,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,25602.38023
Nonclassified Establishments,Large 250 +,Wireline Data,Legacy Data Services,EUR,2012,5854.640739
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,327.5901539
Services,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,367.0811209
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,246.4132029
Manufacturing,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,333.0364983
Construction,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,255.7890522
Wholesale & retail trade,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,246.4431373
Transportation and Public Utilities,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,356.2660147
Public Administration,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,171.5026329
Nonclassified Establishments,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2013,255.0632251
"Finance, Insurance, and Real Estate",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1529.236484
Services,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1541.081627
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1013.783019
Manufacturing,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1740.852788
Construction,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1065.949254
Wholesale & retail trade,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1134.760318
Transportation and Public Utilities,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1713.979588
Public Administration,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,985.0771519
Nonclassified Establishments,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2013,1064.109258
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,12267.18011
Services,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,5808.276915
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,3318.152318
Manufacturing,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,5272.52552
Construction,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,3648.575639
Wholesale & retail trade,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,3824.290304
Transportation and Public Utilities,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,5696.210328
Public Administration,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,12549.03
Nonclassified Establishments,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2013,3590.166575
"Finance, Insurance, and Real Estate",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,150264.9999
Services,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,42839.6285
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,21040.53958
Manufacturing,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,60872.56058
Construction,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,39909.55805
Wholesale & retail trade,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,104972.7507
Transportation and Public Utilities,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,88056.53118
Public Administration,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,165686.5364
Nonclassified Establishments,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2013,37888.47511
"Finance, Insurance, and Real Estate",Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,68.34051868
Services,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,76.57896275
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,51.40571503
Manufacturing,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,69.47671277
Construction,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,53.36166636
Wholesale & retail trade,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,51.41195981
Transportation and Public Utilities,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,74.32275952
Public Administration,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,35.77817814
Nonclassified Establishments,Very Small 0 - 9,IP Voice,IP Voice,EUR,2013,53.21024729
"Finance, Insurance, and Real Estate",Small 10 - 49,IP Voice,IP Voice,EUR,2013,478.4528537
Services,Small 10 - 49,IP Voice,IP Voice,EUR,2013,482.1588485
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,IP Voice,IP Voice,EUR,2013,317.1827139
Manufacturing,Small 10 - 49,IP Voice,IP Voice,EUR,2013,544.6613346
Construction,Small 10 - 49,IP Voice,IP Voice,EUR,2013,333.5039856
Wholesale & retail trade,Small 10 - 49,IP Voice,IP Voice,EUR,2013,355.0329319
Transportation and Public Utilities,Small 10 - 49,IP Voice,IP Voice,EUR,2013,536.2535053
Public Administration,Small 10 - 49,IP Voice,IP Voice,EUR,2013,308.2014974
Nonclassified Establishments,Small 10 - 49,IP Voice,IP Voice,EUR,2013,332.9283053
"Finance, Insurance, and Real Estate",Medium 50 - 249,IP Voice,IP Voice,EUR,2013,4115.933675
Services,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1948.816462
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1113.319829
Manufacturing,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1769.058996
Construction,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1224.184792
Wholesale & retail trade,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1283.141284
Transportation and Public Utilities,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1911.215429
Public Administration,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,4210.501084
Nonclassified Establishments,Medium 50 - 249,IP Voice,IP Voice,EUR,2013,1204.587148
"Finance, Insurance, and Real Estate",Large 250 +,IP Voice,IP Voice,EUR,2013,48615.67534
Services,Large 250 +,IP Voice,IP Voice,EUR,2013,13860.03043
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,IP Voice,IP Voice,EUR,2013,6807.307371
Manufacturing,Large 250 +,IP Voice,IP Voice,EUR,2013,19694.27775
Construction,Large 250 +,IP Voice,IP Voice,EUR,2013,12912.05616
Wholesale & retail trade,Large 250 +,IP Voice,IP Voice,EUR,2013,33962.14136
Transportation and Public Utilities,Large 250 +,IP Voice,IP Voice,EUR,2013,28489.18734
Public Administration,Large 250 +,IP Voice,IP Voice,EUR,2013,53605.05023
Nonclassified Establishments,Large 250 +,IP Voice,IP Voice,EUR,2013,12258.16928
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Services,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Manufacturing,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Construction,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Public Administration,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2013,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Ethernet,EUR,2013,37.50644186
Services,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,37.79695884
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Ethernet,EUR,2013,24.86429943
Manufacturing,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,42.69659701
Construction,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,26.14374175
Wholesale & retail trade,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,27.83141937
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,42.03749808
Public Administration,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,24.16025206
Nonclassified Establishments,Small 10 - 49,Wireline Data,Ethernet,EUR,2013,26.09861354
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,2305.884866
Services,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,1091.792711
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,623.719318
Manufacturing,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,991.0865163
Construction,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,685.8296097
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,718.8590249
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,1070.727345
Public Administration,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,2358.864718
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Ethernet,EUR,2013,674.8503483
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Ethernet,EUR,2013,94948.85214
Services,Large 250 +,Wireline Data,Ethernet,EUR,2013,27069.33455
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Ethernet,EUR,2013,13295.0127
Manufacturing,Large 250 +,Wireline Data,Ethernet,EUR,2013,38463.91215
Construction,Large 250 +,Wireline Data,Ethernet,EUR,2013,25217.89325
Wholesale & retail trade,Large 250 +,Wireline Data,Ethernet,EUR,2013,66329.76536
Transportation and Public Utilities,Large 250 +,Wireline Data,Ethernet,EUR,2013,55640.81168
Public Administration,Large 250 +,Wireline Data,Ethernet,EUR,2013,104693.3515
Nonclassified Establishments,Large 250 +,Wireline Data,Ethernet,EUR,2013,23940.81938
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,229.6370045
Services,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,257.319727
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,172.7328771
Manufacturing,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,233.4548305
Construction,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,179.3052416
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,172.7538607
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,249.7384596
Public Administration,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,120.221412
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2013,178.7964451
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Internet Access,EUR,2013,1132.581737
Services,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,1141.354476
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Internet Access,EUR,2013,750.8270588
Manufacturing,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,1289.308812
Construction,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,789.4623687
Wholesale & retail trade,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,840.4251567
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,1269.406006
Public Administration,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,729.5669459
Nonclassified Establishments,Small 10 - 49,Wireline Data,Internet Access,EUR,2013,788.0996326
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,10269.0022
Services,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,4862.177605
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,2777.664724
Manufacturing,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,4413.693748
Construction,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,3054.266011
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,3201.358844
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,4768.365334
Public Administration,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,10504.94209
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Internet Access,EUR,2013,3005.371089
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Internet Access,EUR,2013,83543.8012
Services,Large 250 +,Wireline Data,Internet Access,EUR,2013,23817.82458
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Internet Access,EUR,2013,11698.0445
Manufacturing,Large 250 +,Wireline Data,Internet Access,EUR,2013,33843.71014
Construction,Large 250 +,Wireline Data,Internet Access,EUR,2013,22188.77441
Wholesale & retail trade,Large 250 +,Wireline Data,Internet Access,EUR,2013,58362.37728
Transportation and Public Utilities,Large 250 +,Wireline Data,Internet Access,EUR,2013,48957.35762
Public Administration,Large 250 +,Wireline Data,Internet Access,EUR,2013,92117.81237
Nonclassified Establishments,Large 250 +,Wireline Data,Internet Access,EUR,2013,21065.09989
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Services,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Manufacturing,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Construction,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Public Administration,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2013,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,207.4311422
Services,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,209.03786
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,137.5131784
Manufacturing,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,236.1355395
Construction,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,144.5891944
Wholesale & retail trade,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,153.9229749
Transportation and Public Utilities,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,232.4903619
Public Administration,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,133.6194113
Nonclassified Establishments,Small 10 - 49,Wireline Data,IP-VPN,EUR,2013,144.3396107
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,11062.80141
Services,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,5238.026459
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,2992.37965
Manufacturing,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,4754.874567
Construction,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,3290.36236
Wholesale & retail trade,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,3448.825545
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,5136.962451
Public Administration,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,11316.97957
Nonclassified Establishments,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2013,3237.687836
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,IP-VPN,EUR,2013,142067.231
Services,Large 250 +,Wireline Data,IP-VPN,EUR,2013,40502.49494
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,IP-VPN,EUR,2013,19892.66428
Manufacturing,Large 250 +,Wireline Data,IP-VPN,EUR,2013,57551.63299
Construction,Large 250 +,Wireline Data,IP-VPN,EUR,2013,37732.27569
Wholesale & retail trade,Large 250 +,Wireline Data,IP-VPN,EUR,2013,99245.91907
Transportation and Public Utilities,Large 250 +,Wireline Data,IP-VPN,EUR,2013,83252.57089
Public Administration,Large 250 +,Wireline Data,IP-VPN,EUR,2013,156647.4393
Nonclassified Establishments,Large 250 +,Wireline Data,IP-VPN,EUR,2013,35821.45376
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Services,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Manufacturing,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Construction,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Public Administration,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2013,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,50.37167872
Services,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,50.76184711
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,33.3931037
Manufacturing,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,57.34213004
Construction,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,35.11141272
Wholesale & retail trade,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,37.37798749
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,56.45695092
Public Administration,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,32.44755818
Nonclassified Establishments,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2013,35.0508049
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,1546.649938
Services,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,732.3093856
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,418.353691
Manufacturing,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,664.7616808
Construction,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,460.0135675
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,482.1677278
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,718.179995
Public Administration,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,1582.185661
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2013,452.6493343
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,17557.10588
Services,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,5005.423047
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,2458.396709
Manufacturing,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,7112.408027
Construction,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,4663.070821
Wholesale & retail trade,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,12265.11629
Transportation and Public Utilities,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,10288.60908
Public Administration,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,19358.97292
Nonclassified Establishments,Large 250 +,Wireline Data,Legacy Data Services,EUR,2013,4426.925563
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,274.0767139
Services,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,307.1166399
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,206.1604114
Manufacturing,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,278.6333715
Construction,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,214.0046702
Wholesale & retail trade,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,206.1854558
Transportation and Public Utilities,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,298.0682337
Public Administration,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,143.4868462
Nonclassified Establishments,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2014,213.3974105
"Finance, Insurance, and Real Estate",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,1277.459824
Services,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,1287.354758
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,846.8716839
Manufacturing,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,1454.235182
Construction,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,890.4491623
Wholesale & retail trade,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,947.9310306
Transportation and Public Utilities,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,1431.786441
Public Administration,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,822.8920105
Nonclassified Establishments,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2014,888.9121071
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,10276.27141
Services,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,4865.619439
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,2779.630975
Manufacturing,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,4416.81811
Construction,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,3056.428062
Wholesale & retail trade,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,3203.625019
Transportation and Public Utilities,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,4771.74076
Public Administration,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,10512.37832
Nonclassified Establishments,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2014,3007.498529
"Finance, Insurance, and Real Estate",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,125952.026
Services,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,35908.149
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,17636.16671
Manufacturing,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,51023.34104
Construction,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,33452.16583
Wholesale & retail trade,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,87988.09195
Transportation and Public Utilities,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,73808.92768
Public Administration,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,138878.348
Nonclassified Establishments,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2014,31758.09541
"Finance, Insurance, and Real Estate",Very Small 0 - 9,IP Voice,IP Voice,EUR,2014,85.45631164
Services,Very Small 0 - 9,IP Voice,IP Voice,EUR,2014,95.75806319
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,IP Voice,IP Voice,EUR,2014,64.2802087
Manufacturing,Very Small 0 - 9,IP Voice,IP Voice,EUR,2014,86.87706405
Construction,Very Small 0 - 9,IP Voice,IP Voice,EUR,2014,66.72602547
