industry_name,employees_at_location_range,product_type,product,year,currency,spend
Construction,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,253.8536621
Construction,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,995.5483579
Construction,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,995.5483579
Construction,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2625.908102
Construction,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4507.886942
Construction,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,13321.02638
Construction,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,31615.37121
Construction,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,175850.4142
Construction,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,175850.4142
Construction,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1059793.26
Construction,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1059793.26
Wholesale Trade,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,77.44502723
Wholesale Trade,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,320.33511
Wholesale Trade,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1259.435875
Wholesale Trade,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1259.435875
Wholesale Trade,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,3375.948561
Wholesale Trade,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,5511.817745
Wholesale Trade,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,16121.36422
Wholesale Trade,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,38599.99451
Wholesale Trade,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,222722.4608
Wholesale Trade,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,222722.4608
Wholesale Trade,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1810559.919
Wholesale Trade,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1810559.919
Retail Trade,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,60.8473399
Retail Trade,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,254.1939782
Retail Trade,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1103.926632
Retail Trade,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1103.926632
Retail Trade,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,3060.941665
Retail Trade,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2911.004781
