location,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Paris, France",Traditional Fixed Voice,Public Administration,50-249 Emp,25142.27677,20754.1255,18672.26674,16402.9691,14626.82139,12970.25214,11446.53325,10130.93682,8814.73297,7572.076875,6464.58637,5468.467777,4583.12568
"Paris, France",Traditional Fixed Voice,Wholesale & retail trade,50-249 Emp,10097.08157,8328.017946,7471.52205,6600.497141,5901.294527,5271.321892,4693.948359,4145.828249,3619.879777,3120.548596,2673.593377,2269.691069,1909.049557
"Paris, France",Traditional Fixed Voice,Services,50-249 Emp,13973.67564,11612.19784,10535.10568,9373.461884,8436.727135,7587.71518,6804.048134,6061.466477,5332.417591,4631.322941,3997.55411,3418.783901,2896.738508
"Paris, France",Traditional Fixed Voice,Transportation and Public Utilities,50-249 Emp,13831.83252,11428.33925,10339.23147,9053.5246,8104.887244,7224.542295,6421.341811,5679.814385,4956.729444,4270.805574,3657.223847,3103.128935,2608.715447
"Paris, France",Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,13406.0066,11021.27914,9673.981208,8555.798131,7615.299448,6769.806857,5995.671034,5304.727449,4620.147193,3972.649734,3394.284376,2873.125971,2409.186807
"Paris, France",Traditional Fixed Voice,Construction,250+ Emp,90466.12325,74459.95015,65318.74598,57795.21797,51592.01499,45979.09529,40833.84942,36127.66686,31514.23035,27140.20065,23225.80955,19691.34006,16538.54529
"Paris, France",Traditional Fixed Voice,"Finance, Insurance, and Real Estate",250+ Emp,260241.4824,217898.8789,194928.1782,176290.6459,161443.4248,148161.8909,135763.5013,121910.0309,108784.9528,95810.81397,83828.78015,72644.76032,62348.10368
"Paris, France",Traditional Fixed Voice,Manufacturing,250+ Emp,108718.9044,87910.96551,75545.60982,65662.22533,57915.4806,51084.86374,44958.68808,38847.91599,33327.69754,28215.36142,23725.27534,19754.56441,16286.00567
"Paris, France",Traditional Fixed Voice,Nonclassified Establishments,250+ Emp,86086.0929,70766.99856,62028.17969,54811.28445,48875.59061,43514.09508,38612.34098,34118.21221,29728.15819,25573.12953,21859.7755,18511.79425,15529.70663
"Paris, France",Traditional Fixed Voice,Public Administration,250+ Emp,330213.4274,272175.8493,239576.8734,211385.9642,188513.5015,167399.676,147891.4091,131188.7454,114287.1352,98294.95755,84005.94952,71126.06749,59656.58634
"Paris, France",Traditional Fixed Voice,Wholesale & retail trade,250+ Emp,104097.5618,85922.91348,75515.4561,67085.81284,60247.35949,54051.21204,48336.8085,42859.83976,37567.40809,32510.39983,27957.33591,23819.18584,20104.20137
"Paris, France",Traditional Fixed Voice,Services,250+ Emp,100272.4908,83361.00369,74202.01267,66326.55857,59944.02236,54093.16331,48668.59336,43544.94619,38442.65425,33505.66021,29017.8012,24897.04904,21161.17175
"Paris, France",Traditional Fixed Voice,Transportation and Public Utilities,250+ Emp,240373.5431,197343.2169,173443.5225,152009.1331,135652.0459,120575.3106,106859.4948,94223.4723,81953.68052,70372.18658,60043.83542,50753.43218,42497.43236
"Paris, France",IP Voice,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,49.00912081,51.40856847,54.77663156,61.54257183,68.73285839,75.63382918,81.38207294,86.13845852,90.4455079,94.58649199,97.07744305,98.35533372,98.35654818
"Paris, France",IP Voice,Construction,1-9 Emp,52.54165464,55.16109058,58.84545857,66.20840883,74.03085746,81.56673575,87.87780663,93.12864672,97.91053477,102.5258258,105.3634099,106.891314,107.0351828
"Paris, France",IP Voice,"Finance, Insurance, and Real Estate",1-9 Emp,72.03587063,76.19965147,82.67524147,93.65348605,105.7294084,117.4839313,127.6346458,136.8130048,145.2392838,153.5655656,159.349897,163.2305713,165.0359931
"Paris, France",IP Voice,Manufacturing,1-9 Emp,70.11157764,73.2124083,77.19580971,85.2067064,94.55720316,103.0643463,109.8439632,114.8179654,119.203816,123.2283266,124.9860875,125.107212,123.5672136
"Paris, France",IP Voice,Nonclassified Establishments,1-9 Emp,53.22776402,55.91447154,59.694843,67.21834225,75.20440608,82.90807132,89.36974492,94.78753074,99.72278401,104.4955158,107.4622631,109.0969921,109.3209884
"Paris, France",IP Voice,Public Administration,1-9 Emp,35.54411369,37.78425765,41.54385227,46.69691497,53.01319468,59.01742485,64.18654411,69.12033453,73.57560631,78.00082706,81.15165714,83.3436057,84.48116072
"Paris, France",IP Voice,Wholesale & retail trade,1-9 Emp,57.02746522,60.10326644,64.53453893,72.96946689,81.97336331,90.71277208,98.13785276,104.5944976,110.5099073,116.294481,120.1095508,122.4616108,123.242907
"Paris, France",IP Voice,Services,1-9 Emp,80.12607681,85.04659205,92.7130323,105.7344483,119.6489458,133.4532154,145.5173042,156.7000664,167.0086297,177.2705697,184.6537326,189.8660769,192.6818062
