company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon,country
bieker AG,bieker AG,Walter-Kolb-Str. 5-7,,60594,Frankfurt am Main,8712,87,Architektendienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,25,Small 10 - 49,50.1059565,8.686927,Germany
01072 Telecom GmbH,01072 Telecom GmbH,Berner Str. 119,,60437,Frankfurt am Main,4813,48,Telekommunikation (außer drahtlos),Communications,Transportation and Public Utilities,14,Small 10 - 49,50.1903,8.65774,Germany
10 Brands Only Werbeagentur GmbH,10 Brands Only Werbeagentur,Offenbacher Landstr. 7-13,,60599,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,10,Small 10 - 49,50.101021,8.6920231,Germany
1822direkt Gesellschaft der Frankfurter Sparkasse mbH,1822direkt Gesellschaft der,Borsigallee 19,,60388,Frankfurt am Main,6099,60,Sonstige Anlagendienste,Depository Institutions,"Finance, Insurance, and Real Estate",149,Medium 50 - 249,50.13678,8.7429,Germany
25hours Hotel Company Frankfurt GmbH,25hours Hotel Company,Hanauer Landstr. 127,,60314,Frankfurt am Main,7011,70,"Hotels, Motels","Hotels, Rooming Houses, Camps, and Other Lodging Places",Services,20,Small 10 - 49,50.11199,8.7128595,Germany
"2COM Immobilien Competence, Consulting & Management GmbH & Co. KG","2COM Immobilien Competence,",Herriotstr. 1,,60528,Frankfurt am Main,6531,65,"Immobilien-Agenten, Makler u. Verwalter",Real Estate,"Finance, Insurance, and Real Estate",20,Small 10 - 49,50.0810641,8.629639,Germany
2IP Institutional Investment-Partners Group GmbH,2IP Institutional,Hamburger Allee 45,,60486,Frankfurt am Main,6799,67,Sonstige Investoren,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",15,Small 10 - 49,50.1162158,8.6446802,Germany
3 B (MANAGEMENT) GmbH & Co. KG,3 B (MANAGEMENT) GmbH & Co. KG,Walther-von-Cronberg-Platz 13,,60594,Frankfurt am Main,5812,58,"Restaurants, Schnellimbiß usw.",Eating and Drinking Places,Services,30,Small 10 - 49,50.1052521,8.6966508,Germany
360 Treasury Systems AG,360 Treasury Systems AG,Grüneburgweg 16-18,,60322,Frankfurt am Main,7372,73,Fertige Software,Business Services,Services,105,Medium 50 - 249,50.12134,8.67206,Germany
3i Deutschland Gesellschaft für Industriebeteiligungen mbH,3i Deutschland Gesellschaft,Bockenheimer Landstr. 2-4,,60323,Frankfurt am Main,6719,67,Sonstige Holding-Gesellschaften,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",12,Small 10 - 49,50.1162875,8.6702706,Germany
3K Agentur für Kommunikation GmbH,3K Agentur für Kommunikation,Feldbergstr. 35,,60323,Frankfurt am Main,8743,87,Public relations Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,15,Small 10 - 49,50.1218744,8.6618164,Germany
3W-Logistik GmbH,3W-Logistik GmbH,Silberbornstr. 14,,60320,Frankfurt am Main,4731,47,Fracht- u. Cargo-Transportorganisation,Transportation Services,Transportation and Public Utilities,13,Small 10 - 49,50.1396151,8.67586,Germany
4Tek Gesellschaft für angewandte Informationstechnologien mbH,4Tek Gesellschaft für,Münchener Str. 9,,60329,Frankfurt am Main,7379,73,Sonstige Dienstleistungen auf dem Computersektor,Business Services,Services,12,Small 10 - 49,50.1080706,8.6713871,Germany
A & A Gastronomie GmbH,A & A Gastronomie GmbH,Westhafenplatz 6-8,,60327,Frankfurt am Main,5812,58,"Restaurants, Schnellimbiß usw.",Eating and Drinking Places,Services,10,Small 10 - 49,50.1007106,8.6641758,Germany
A & M Ausbau GmbH,A & M Ausbau GmbH,Hanauer Landstr. 291B,,60314,Frankfurt am Main,1799,17,Sonstige baugewerbliche Spezialarbeiten,Construction - Special Trade Contractors,Construction,10,Small 10 - 49,50.11648,8.72594,Germany
A + A  Blumen-Meister GmbH Blumenhandel,A + A  Blumen-Meister GmbH,Große Bockenheimer Str. 24,,60313,Frankfurt am Main,5992,59,Blumengeschäfte,Miscellaneous Retail,Wholesale & retail trade,12,Small 10 - 49,50.1146717,8.6752405,Germany
a 5 Planung GmbH,a 5 Planung GmbH,Lyoner Str. 12,,60528,Frankfurt am Main,8712,87,Architektendienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,67,Medium 50 - 249,50.0837292,8.6290301,Germany
A bis Z Heizung - Zubehör - Sanitär Gruber GmbH,A bis Z Heizung - Zubehör -,Mark-Aurel-Str. 8,,60439,Frankfurt am Main,1711,17,"Installation u. Heizungsbau, Klimaanlagen",Construction - Special Trade Contractors,Construction,10,Small 10 - 49,50.15999,8.64549,Germany
A I V Handels GmbH,A I V Handels GmbH,Orber Str. 11-13,,60386,Frankfurt am Main,5012,50,Kfz-Import und Export,Wholesale Trade - Durable Goods,Wholesale & retail trade,19,Small 10 - 49,50.129903,8.7527319,Germany
A&B ONE Kommunikationsagentur GmbH,A&B ONE Kommunikationsagentur,Wiesenhüttenstr. 11,,60329,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,50,Small 10 - 49,50.10401,8.66743,Germany
A&M Asphaltbau und Mischwerke GmbH,A&M Asphaltbau und Mischwerke,Im Kalk 3-5,,60437,Frankfurt am Main,2951,29,Asphaltmischungen und -Blöcke,Petroleum Refining and Related Industries,Manufacturing,50,Small 10 - 49,50.17939,8.69251,Germany
A. F. UMZÜGE GmbH,A. F. UMZÜGE GmbH,Westerbachstr. 122,,65936,Frankfurt am Main,4212,42,Straßengüternahverkehr ohne Lagerung,Motor Freight Transportation,Transportation and Public Utilities,30,Small 10 - 49,50.124,8.58884,Germany
"A. Galler, Dental-Laboratorium GmbH","A. Galler, Dental-Laboratorium",Dreihäusergasse 12,,60433,Frankfurt am Main,8072,80,Zahntechnische Labors,Health Services,Services,14,Small 10 - 49,50.1613942,8.6574002,Germany
A. Kremer GmbH,A. Kremer GmbH,Eckenheimer Landstr. 415,,60435,Frankfurt am Main,7641,76,Reparatur von Möbeln u. Polstermöbeln,Miscellaneous Repair Services,Services,11,Small 10 - 49,50.1457926,8.6825547,Germany
