company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon
SAFER DE L ILE DE FRANCE,SAFER DE L ILE DE FRANCE,19 RUE D ANJOU,,75008,Paris,119,1,Sonstige Getreide,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",24,#REF!,48.8702723,2.3210734
CHATEAU MONBOUSQUET,CHATEAU MONBOUSQUET,46 RUE SAINT FERDINAND,,75017,Paris,172,1,Weintrauben,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",14,#REF!,48.8775299,2.2862488
DOMAINES CGR,DOMAINES CGR,40 R NOTRE DAME DES VICTOIRES,,75002,Paris,172,1,Weintrauben,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",30,#REF!,48.8688848,2.3422556
DOMAINE CLARENCE DILLON,DOMAINE CLARENCE DILLON,41 AVENUE GEORGE V,,75008,Paris,172,1,Weintrauben,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",105,#REF!,48.8702065,2.300587
LE HARAS DES M,LE HARAS DES M,HARAS DES M,47 BOULEVARD DE COURCELLES,75008,Paris,272,2,Pferde u. verwandte Tiere,Agricultural Production - Livestock and Animal Specialties,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8791762,2.3045971
BARON GUY DE ROTHSCHILD,BARON GUY DE ROTHSCHILD,10 RUE DE COURCELLES,,75008,Paris,272,2,Pferde u. verwandte Tiere,Agricultural Production - Livestock and Animal Specialties,"Agriculture, Forestry, and Fishing plus Mining",50,#REF!,48.8737112,2.3114014
CIE FERMIERE BENJAMIN EDMOND ROT,CIE FERMIERE BENJAMIN EDMOND,47 RUE DU FAUBOURG SAINT HONORE,,75401,Paris Cedex 08,291,2,"Allgemeine Landwirtschaft, haupts_chl. Viehzucht",Agricultural Production - Livestock and Animal Specialties,"Agriculture, Forestry, and Fishing plus Mining",20,#REF!,48.869868,2.317843
SCP PHQGGR,SCP PHQGGR,5 RUE DUBRUNFAUT,,75012,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8396433,2.3900222
SELARL BKUPFER,SELARL BKUPFER,17 BD DES FILLES DU CALVAIRE,,75003,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",11,#REF!,48.8628423,2.3666466
SELAS FAMILYVETS,SELAS FAMILYVETS,15 RUE LA BOETIE,,75008,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",15,#REF!,48.8741672,2.3178478
SELARL DE VETERINAIRES C.G.S.,SELARL DE VETERINAIRES C.G.S.,11 RUE HENRI RIBIERE,,75019,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",15,#REF!,48.8767948,2.3954795
BRUNE GENETIQUE SERVICES,BRUNE GENETIQUE SERVICES,149 RUE DE BERCY,,75012,Paris,751,7,"Viehzucht, Medizin, Betreuung, Qualit_tsprôfung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",16,#REF!,48.8409665,2.3756433
SARL L'AVENIR,SARL L'AVENIR,CHEZ CIE FERM SAINT HONORE,32 BOULEVARD FLANDRIN,75116,Paris,751,7,"Viehzucht, Medizin, Betreuung, Qualit_tsprôfung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",31,#REF!,48.8668412,2.2732512
UNION NAT COOP AGRICOL ELEVA INS,UNION NAT COOP AGRICOL ELEVA,149 RUE DE BERCY,,75595,Paris Cedex 12,751,7,"Viehzucht, Medizin, Betreuung, Qualit_tsprôfung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",33,#REF!,48.8409665,2.3756433
B2M SERVICES,B2M SERVICES,103 BOULEVARD MACDONALD,,75019,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8982045,2.3845777
EDEN PARC,EDEN PARC,21 RUE DOUDEAUVILLE,,75018,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8885241,2.3566867
ARBR' O' PARC,ARBR' O' PARC,ESCALIER B FOND DE COUR,20 PASSAGE DE LA BONNE GRAINE,75011,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8523669,2.3774049
DRF BAT,DRF BAT,14 CITE GRISET,,75011,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8671806,2.3785509
NCI PAYSAGE,NCI PAYSAGE,7 RUE DU DOCTEUR LANCEREAUX,,75008,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",12,#REF!,48.876269,2.3117502
A.P.ENVIRONNEMENT,A.P.ENVIRONNEMENT,17 PLACE LOUIS LEPINE,,75004,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",13,#REF!,48.8551864,2.347474
F.PAULIAT,F.PAULIAT,138 BOULEVARD PEREIRE,,75017,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",13,#REF!,48.883951,2.2947223
GREEN,GREEN,6 VILLA JEAN GODARD,,75012,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",14,#REF!,48.8350677,2.4050548
AMG PAYSAGE,AMG PAYSAGE,IMMEUBLE D 49 51,49 RUE DE PONTHIEU,75008,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",16,#REF!,48.8716438,2.3061108
SEVE,SEVE,9 RUE ALEXANDRE DUMAS,,75011,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",30,#REF!,48.8530703,2.3896478
LE GRAND JARDIN SA,LE GRAND JARDIN SA,16 RUE EMILE DUCLAUX,,75015,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",1145,#REF!,48.8422976,2.3086169
OFFICE NATIONAL DES FORETS,OFFICE NATIONAL DES FORETS,2 AVENUE DE SAINT MANDE,,75570,Paris Cedex 12,851,8,Forstwirtschaftl. Dienste,Forestry,"Agriculture, Forestry, and Fishing plus Mining",5000,#REF!,48.8454231,2.3957207
COPROPRIETE PRINS BERNHARD,COPROPRIETE PRINS BERNHARD,FRANCE PELAGIQUE,9 RUE DE BASSANO,75116,Paris,912,9,Fische (Fischfang),"Fishing, Hunting and Trapping","Agriculture, Forestry, and Fishing plus Mining",20,#REF!,48.8687996,2.296585
COPROPRIETE SANDETTIE,COPROPRIETE SANDETTIE,FRANCE PELAGIQUE,9 RUE DE BASSANO,75116,Paris,912,9,Fische (Fischfang),"Fishing, Hunting and Trapping","Agriculture, Forestry, and Fishing plus Mining",20,#REF!,48.8687996,2.296585
COMPAGNIE MARITIME DES TERRES AUSTRALE,COMPAGNIE MARITIME DES TERRES,24 RUE AUGUSTE CHABRIERES,,75015,Paris,912,9,Fische (Fischfang),"Fishing, Hunting and Trapping","Agriculture, Forestry, and Fishing plus Mining",50,#REF!,48.8346283,2.2894167
FRANCE PELAGIQUE,FRANCE PELAGIQUE,9 RUE DE BASSANO,,75116,Paris,912,9,Fische (Fischfang),"Fishing, Hunting and Trapping","Agriculture, Forestry, and Fishing plus Mining",68,#REF!,48.8687996,2.296585
SCAPECHE,SCAPECHE,24 RUE AUGUSTE CHABRIERES,,75015,Paris,912,9,Fische (Fischfang),"Fishing, Hunting and Trapping","Agriculture, Forestry, and Fishing plus Mining",110,#REF!,48.8346283,2.2894167
COMPTOIRS MINERAUX MATIERES PREMIERES,COMPTOIRS MINERAUX MATIERES,45 RUE DE SAINT PETERSBOURG,,75008,Paris,1099,10,Andere Metallerze,Metal Mining,"Agriculture, Forestry, and Fishing plus Mining",29,#REF!,48.8829941,2.3263012
VALE NOUVELLE-CALEDONIE S.A.S.,VALE NOUVELLE-CALEDONIE S.A.S.,38 RUE DU COLISEE,,75008,Paris,1099,10,Andere Metallerze,Metal Mining,"Agriculture, Forestry, and Fishing plus Mining",1318,#REF!,48.8713508,2.3108386
SOC PETROREP,SOC PETROREP,42 AVENUE RAYMOND POINCARE,,75782,Paris Cedex 16,1311,13,Roh_l u. Erdgas,Oil and Gas Extraction,"Agriculture, Forestry, and Fishing plus Mining",22,#REF!,48.8660793,2.2863793
GEOPETROL,GEOPETROL,11 RUE TRONCHET,,75008,Paris,1311,13,Roh_l u. Erdgas,Oil and Gas Extraction,"Agriculture, Forestry, and Fishing plus Mining",37,#REF!,48.871572,2.3254528
PETROORIENTAL S.A,PETROORIENTAL S.A,CHEZ REGUS PARIS SA,68 R DU FAUBOURG SAINT HONORE,75008,Paris,1311,13,Roh_l u. Erdgas,Oil and Gas Extraction,"Agriculture, Forestry, and Fishing plus Mining",63,#REF!,48.8701215,2.318379
SOC TRAVAUX APPROV PETROLIERS MA,SOC TRAVAUX APPROV PETROLIERS,4 AVENUE HOCHE,,75008,Paris,1389,13,Sonstige ƒl-u. Erdgasfeld-Arbeiten,Oil and Gas Extraction,"Agriculture, Forestry, and Fishing plus Mining",22,#REF!,48.8776129,2.3038797
CAROIL,CAROIL,34 BOULEVARD HAUSSMANN,,75009,Paris,1389,13,Sonstige ƒl-u. Erdgasfeld-Arbeiten,Oil and Gas Extraction,"Agriculture, Forestry, and Fishing plus Mining",246,#REF!,48.8730718,2.3342086
PERENCO,PERENCO,7 RUE DE LOGELBACH,,75017,Paris,1389,13,Sonstige ƒl-u. Erdgasfeld-Arbeiten,Oil and Gas Extraction,"Agriculture, Forestry, and Fishing plus Mining",680,#REF!,48.8816369,2.3077041
SOC DES CARRIERES DE VIGNATS,SOC DES CARRIERES DE VIGNATS,57 RUE PIERRE CHARRON,,75008,Paris,1442,14,Bausand u. Kies,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Agriculture, Forestry, and Fishing plus Mining",58,#REF!,48.869687,2.303263
CARRIERES DE THIVIERS,CARRIERES DE THIVIERS,57 RUE PIERRE CHARRON,,75008,Paris,1442,14,Bausand u. Kies,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Agriculture, Forestry, and Fishing plus Mining",79,#REF!,48.869687,2.303263
DAMREC,DAMREC,154 RUE DE L UNIVERSITE,,75007,Paris,1442,14,Bausand u. Kies,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Agriculture, Forestry, and Fishing plus Mining",96,#REF!,48.8613559,2.3078938
IMERYS CERAMICS FRANCE,IMERYS CERAMICS FRANCE,154 RUE DE L UNIVERSITE,,75007,Paris,1442,14,Bausand u. Kies,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Agriculture, Forestry, and Fishing plus Mining",372,#REF!,48.8613559,2.3078938
BARYTINE DE CHAILLAC,BARYTINE DE CHAILLAC,25 RUE DE CLICHY,,75009,Paris,1479,14,Abbau v. sonstigen Mineralien fôr die Chemie und fôr Dôngemittel,"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Agriculture, Forestry, and Fishing plus Mining",28,#REF!,48.8785398,2.3292462
IMERYS FILTRATION FRANCE,IMERYS FILTRATION FRANCE,154 RUE DE L UNIVERSITE,,75007,Paris,1499,14,verschied. Steine u. Erden (au_er Brennstoffe),"Mining and Quarrying of Nonmetallic Minerals, Except Fuels","Agriculture, Forestry, and Fishing plus Mining",62,#REF!,48.8613559,2.3078938
EURO DESIGN GROUP,EURO DESIGN GROUP,13 B AVENUE DE LA MOTTE PICQUET,,75007,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8560464,2.3088668
KL NAMI,KL NAMI,148 RUE DE L UNIVERSITE,,75007,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8612133,2.3091975
ASS6TEC,ASS6TEC,173 BOULEVARD PEREIRE,,75017,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8825136,2.2933424
F L C F L C PARTENAIRE CONSTRUCTION,F L C F L C PARTENAIRE,48 BOULEVARD RICHARD LENOIR,,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8586778,2.3721238
RYDZEWSKI BATIMENT,RYDZEWSKI BATIMENT,9 RUE AUBRIOT,,75004,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8587716,2.3572365
R.P.,R.P.,19 RUE DE L OURCQ,,75019,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8881025,2.3842981
BEE,BEE,25 RUE VILLIOT,,75012,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8417528,2.3753605
NOUR BAT,NOUR BAT,98 RUE DE SAUSSURE,,75017,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8872436,2.3123298
GROUPEMENT RENOVATION BATIMENT,GROUPEMENT RENOVATION BATIMENT,55 RUE DE MONTREUIL,,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.850471,2.3893363
SARL CARMEN BATIMENT,SARL CARMEN BATIMENT,6 RUE PIHET,,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.863852,2.3736522
LES NOUVELLES CONSTRUCTIONS ET CIE,LES NOUVELLES CONSTRUCTIONS ET,139 RUE DES PYRENEES,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8583703,2.4026819
RAMOS ENTREPRISE RENOVATION,RAMOS ENTREPRISE RENOVATION,17 AVENUE GAMBETTA,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8637762,2.3904314
MAGEBA,MAGEBA,26 RUE DES RIGOLES,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8720606,2.3935672
RAF,RAF,87 RUE MONTMARTRE,,75002,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8676184,2.3437532
SARL NOUVELLES CONSTRUCTIONS,SARL NOUVELLES CONSTRUCTIONS,COMMUNIC GESTION INFORMAT,38 RUE D ENGHIEN,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8723889,2.3493932
MAZEK,MAZEK,8 RUE DE NICE,,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8550264,2.3907822
PRODEAL SERVICES,PRODEAL SERVICES,10 RUE LAGILLE,,75018,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8945666,2.3286998
ARMOR LM,ARMOR LM,10 RUE DE BELLEFOND,,75009,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.878102,2.3482197
SARL MONDIAL ATANCHEITE BARDAGE,SARL MONDIAL ATANCHEITE,23 RUE D HAUTEVILLE,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.872963,2.3500075
KAMEN BAT,KAMEN BAT,16 RUE DE L ECHIQUIER,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8714231,2.3517419
BATINOV,BATINOV,99 B AVENUE DU GENERAL LECLERC,,75014,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8259542,2.3263751
SARL SIMGE,SARL SIMGE,38 RUE D ENGHIEN,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8723889,2.3493932
DECOR DE L'INDE,DECOR DE L'INDE,19 RUE CAIL,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8826086,2.3597386
S.A.S DEPANNAGE,S.A.S DEPANNAGE,TIM WORLWIDE,7 AVENUE PHILIPPE AUGUSTE,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8498183,2.3945604
TAVARES,TAVARES,8 BOULEVARD SAINT MARTIN,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8687936,2.3578609
CSFT,CSFT,221 RUE LA FAYETTE,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8815838,2.3652611
PARIS BAT,PARIS BAT,11 RUE GABRIEL LAUMAIN,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8734087,2.3482315
PRO BATI,PRO BATI,CHEZ CHEIKH MULTI SERVICES,1 RUE PLICHON,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8625209,2.3851918
MEJIA RENOVATION,MEJIA RENOVATION,8 RUE SAINTE ANASTASE,,75003,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8597574,2.3639965
SARL M.C.E.R.,SARL M.C.E.R.,26 RUE DES RIGOLES,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8720606,2.3935672
MAJIC RENOVA 2001,MAJIC RENOVA 2001,CHEZ CABIS,128 RUE LA BOETIE,75008,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8710406,2.305703
SARL BHC,SARL BHC,19 RUE DE L AQUEDUC,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8805356,2.3594383
EASYMAGS,EASYMAGS,60 RUE LA BOETIE,,75008,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8735871,2.3122179
FRANCE BATIMENT,FRANCE BATIMENT,26 RUE GEORGE SAND,,75016,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8502474,2.2681317
INTERNOS,INTERNOS,CHEZ SOFRADOM,282 RUE DES PYRENEES,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8704852,2.3940348
B A T,B A T,221 RUE LA FAYETTE,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8815838,2.3652611
HAM BATIMENT,HAM BATIMENT,36 RUE POULET,,75018,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8878622,2.3508175
SEM,SEM,CHEZ IDAS,12 RUE DE NICE,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8552466,2.3906496
ALLIANCE BAT CONSTRUCTION ELECTRICITE,ALLIANCE BAT CONSTRUCTION,34 AVENUE DES CHAMPS ELYSEES,,75008,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8699516,2.3082499
AMGK,AMGK,195 AVENUE GAMBETTA,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8727262,2.4044974
MAZZAR,MAZZAR,189 AVENUE GAMBETTA,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8724746,2.4044236
VHLBAT,VHLBAT,4 SQUARE LA FONTAINE,,75016,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8505196,2.2721391
SANDA,SANDA,52 RUE RENE BOULANGER,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8687662,2.3596475
AM CONSTRUCTION,AM CONSTRUCTION,2 PASSAGE FLOURENS,,75017,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8972738,2.3267021
DERSIM,DERSIM,12 RUE DE NICE,,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8552466,2.3906496
S.N.M. RENOVATION,S.N.M. RENOVATION,11 RUE D ALIGRE,,75012,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8493061,2.3781811
BATISAM,BATISAM,37 BOULEVARD NEY,,75018,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8977204,2.3437499
MEGINA SARL,MEGINA SARL,38 RUE DE LA REUNION,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8543748,2.4024613
CONCEPT & TRAVAUX,CONCEPT & TRAVAUX,21 PLACE DE LA REPUBLIQUE,,75003,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8676452,2.3622243
RIM-BAT,RIM-BAT,33 RUE DE LA CHAUSSEE D ANTIN,,75009,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.874409,2.3325468
FRANCE DECO BAT,FRANCE DECO BAT,CHEZ PARADIS AFFAIRES,1 RUE DE PARADIS,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8743634,2.3551101
E.M.S,E.M.S,28 RUE DE CHABROL,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8770798,2.3529807
BSF BATIMENT,BSF BATIMENT,44 RUE RODIER,,75009,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8795433,2.3436303
GEBAT FRANCE,GEBAT FRANCE,350 RUE LECOURBE,,75015,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8368196,2.2829607
SIDEM,SIDEM,1 RUE DE PARADIS,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8743634,2.3551101
ATLAS 94,ATLAS 94,4 CITE JOLY,,75011,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8622008,2.3833957
DECO BAT,DECO BAT,11 AVENUE DE LAUMIERE,,75019,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8831976,2.3806604
OLIVEIRA M.H.,OLIVEIRA M.H.,58 AVENUE DE WAGRAM,,75017,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8790994,2.2993333
SARL T.C. BAT,SARL T.C. BAT,8 RUE DE TERRE NEUVE,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8540536,2.3972841
BRANA,BRANA,86 QUAI DE LA LOIRE,,75019,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8869974,2.3788654
ANIS COURSES,ANIS COURSES,221 RUE LA FAYETTE,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8815838,2.3652611
ABN DECO,ABN DECO,23 RUE NOLLET,,75017,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8856891,2.3229937
ECOCONFORT,ECOCONFORT,115 RUE DE L ABBE GROULT,,75015,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8370782,2.3006547
TMC,TMC,195 AVENUE GAMBETTA,,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8727262,2.4044974
DRAME,DRAME,32 BOULEVARD DE STRASBOURG,,75010,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8719107,2.3560323
GROUPE EOLIA,GROUPE EOLIA,CHEZ SERVICE PLUS,26 RUE DES RIGOLES,75020,Paris,1521,15,Allgem. Bauunternehmen - Einfamilienh_user,Building Cnstrctn - General Contractors & Operative Builders,Construction,10,#REF!,48.8720606,2.3935672
