building_id,s_ocn,cust_name,man_employee_total,db_country_name,db_nace_code,db_employee_here,db_employee_total,db_sic_code,db_industry,db_industry_level_1,db_industry_level_2,db_industry_level_3,gl_revenue_year_2014,db_duns,sfdc_account_name,carrier_voice,colocation,colt_total,customer_asset_sales_data,customer_asset_sales_managed_services,data_centre_services,data_centre_services_installation_adjustment,data_installation_adjustment,dedicated_hosting,ethernet_point_to_point,ethernet_vpn,high_speed_service,incoming,in_services,intercompany_voice,internet_access,ip_voice,ipvpn_corporate,link,managed_service_installation_adjustment,other_bandwidth,other_misc_data,other_voice,professional_services,reseller_voice,shared_hosting,voice_connect,voice_line,others,channel
DEBAD-0000010522,DE10077,LILLY DEUTSCHLAND GMBH,930,GERMANY,24.41,0,930,2834,Manufacturing,20..39 - Manufacturing,28 - Chemicals & Allied Products,Pharmaceutical preparations,83836.5,318666443,LILLY Deutschland GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41296.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5692.39,36847.31,0.00,AGENTS
DEBAD-0000010522,DE70777,MONOTYPE GMBH,48,GERMANY,92.51,48,48,8231,Services,70..89 - Services,82 - Educational Services,Libraries,64319.75,537239931,Monotype GmbH,0,28416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35711.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00,0.00,0
DEBAD-0000010771,4205232,BRIDGESTONE DEUTSCHLAND GMBH,303,GERMANY,50.3,0,303,5014,Wholesale Trade,50..51 - Wholesale Trade,50 - Wholesale Trade - Durable Goods,Tires & tubes,11113,316679786,Bridgestone Deutschland GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
DEBAD-0000012394,DE57784,AMEROPA-REISEN GMBH,120,GERMANY,63.3,0,120,4724,"Transportation, Communications, Electric, Gas & Sanitary Services","40..49 - Transportation, Communications, Electric, Gas & Sanitary Services",47 - Transportation Services,Travel agencies,21197.97,315003871,Ameropa-Reisen GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.48,6992.49,0.00,0
DEBAD-0000012868,530068,ATIS SYSTEMS GMBH,200,GERMANY,0,94,200,3669,Manufacturing,20..39 - Manufacturing,36 - Electronic & Other Electrical Equipment & Components exc. Computer Equipment,Communications equipment N.E.C.,13464,315723189,ATIS systems GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEBAD-0000013735,A0127646,INS Systems GmbH,50,GERMANY,72.6,50,50,7379,Services,70..89 - Services,73 - Business Services,Computer related services N.E.C.,368412.29,326127438,INS Systems GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2328.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,359730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6354.29,0.00,AGENTS
DEBAD-0000015617,96637,INCC DUESSELDORF,0,FRANCE,55.3,10,0,5812,Retail Trade,52..59 - Retail Trade,58 - Eating & Drinking Places,Eating places,278224.2306,768471336,Hewlett - Packard Centre de Compétence (EMEA Head Quarter),0,34804.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58131.74,-5498.33,0.00,0.00,0.00,0.00,65105.47,0.00,-1452.01,-2163.36,0.00,58008.34,0.00,0.00,0.00,0.00,0.00,0.00,71288.80,0.00,0
DEBAD-0000016021,COL002,AOK HESSEN,1396,GERMANY,64.2,1396,1396,4899,"Transportation, Communications, Electric, Gas & Sanitary Services","40..49 - Transportation, Communications, Electric, Gas & Sanitary Services",48 - Communications,Communications services N.E.C.,10,314652884,Colt Technology Services GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0
DEBAD-0000016021,DE11618,AOK HESSEN,5000,GERMANY,85.12,0,5000,8011,Services,70..89 - Services,80 - Health Services,Offices & clinics of doctors of medicine,781331.94,327695276,AOK Hessen,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,781332.16,0.00,0.00,0.00,0.00,0.00,-0.22,0.00,0.00,0.00,0.00,0.00,0
DEBAD-0000017033,893847,AMADEUS DATA PROCESSING GMBH,625,GERMANY,72.6,625,625,7379,Services,70..89 - Services,73 - Business Services,Computer related services N.E.C.,861440.59,321682916,Amadeus Data Processing GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,657157.28,-12062.95,0.00,0.00,0.00,0.00,36840.14,0.00,13440.00,138465.95,0.00,27600.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
