region,department,city_code,coverage_cities,co_nickname,ft_co_id,address,zip_code,city,full_address,xng_site_name,xng_site_id,lat,lon
Ile de France,93,AUBERVILLIERS,"93300 Aubervilliers, 93120 La Courneuve",FLANDRE,93001FLA,6 rue Achille Domart,93300,AUBERVILLIERS,"93001FLA, FLANDRE, 6 rue Achille Domart, 93300 AUBERVILLIERS",FR_93001_RUE ACHILLE DOMART_6_INC_DPAGE,PAR06080-01_CAA FLANDRE,48.9135878,2.3833848
Ile de France,93,BOBIGNY,"93000 Bobigny, 93700 Drancy",BOBIGNY,93008BNY,230 avenue Henri Barbusse,93000,BOBIGNY,"93008BNY, BOBIGNY, 230 avenue Henri Barbusse, 93000 BOBIGNY",FR_93000_AVENUE HENRI BARBUSSE_230_INC_DPAGE,PAR06082-01_CAA BOBIGNY,48.9122041,2.4357604
Ile de France,93,LA COURNEUVE,"93000 Bobigny, 93350 Le Bourget, 93120 La Courneuve, 93700 Drancy, 93440 Dugny, 93500 Pantin",COURNEUVE,93027COU,38 rue Edgar Quinet,93120,LA COURNEUVE,"93027COU, COURNEUVE, 38 rue Edgar Quinet, 93120 LA COURNEUVE",FR_93027_RUE EDGAR QUINET_38_INC_DPAGE,PAR06081-01_CAA COURNEUVE,48.9302252,2.3972785
Ile de France,93,MONTREUIL,"93170 Bagnolet, 93100 Montreuil, 93130 Noisy le Sec, 93230 Romainville",MONTREUIL SOUS BOIS,93048MTL,94 rue Alexis Pesnon,93100,MONTREUIL,"93048MTL, MONTREUIL SOUS BOIS, 94 rue Alexis Pesnon, 93100 MONTREUIL",FR_93048_RUE ALEXIS PESNON_94_INC_DPAGE,PAR06090-01_CAA MONTREUIL,48.8632708,2.4369563
Ile de France,93,NOISY-LE-GRAND,"93460 Gournay sur Marne, 93160 Noisy le Grand, 94350 Villiers sur Marne",NOISY-LE-GRAND,93051NSG,rue Graham Bell,93160,NOISY LE GRAND,"93051NSG, NOISY-LE-GRAND, rue Graham Bell, 93160 NOISY LE GRAND",FR_93160_RUE GRAHAM BELL_INC_1SS_DPAGE,PAR03563/02_CAA NOISYLEGRAND2,48.8365508,2.5472784
Ile de France,93,NOISY-LE-GRAND,94350 Villiers sur Marne,VILLIERS,93051VLS,rue Graham Bell,93160,NOISY LE GRAND,"93051VLS, VILLIERS, rue Graham Bell, 93160 NOISY LE GRAND",FR_93160_RUE GRAHAM BELL_INC_1SS_DPAGE,PAR03563/02_CAA NOISYLEGRAND2,48.8365508,2.5472784
Ile de France,93,ROSNY-SOUS-BOIS,"93100 Montreuil, 93110 Rosny sous Bois, 93250 Villemomble",ROSNY,93064RNY,37 rue Jules Ferry,93110,ROSNY SOUS BOIS,"93064RNY, ROSNY, 37 rue Jules Ferry, 93110 ROSNY SOUS BOIS",FR_93064_RUE JULES FERRY_37_INC_DPAGE,PAR06089-01_CAA ROSNY,48.8731116,2.4796374
Ile de France,93,SAINT-DENIS,93200 Saint Denis,CORNILLON,93066CRN,2 rue Francis de Pressense,93200,SAINT DENIS,"93066CRN, CORNILLON, 2 rue Francis de Pressense, 93200 SAINT DENIS",FR_93200_RUE FRANCIS DE PRESSENSE_2_INC_DPAGE,PAR06079-01_CAA CORNILLON,48.9181247,2.3584473
Ile de France,93,SAINT-DENIS,"93450 L'Ile Saint Denis, 93200 Saint Denis",PLAINE,93066PLA,19 rue des Ursulines,93200,SAINT DENIS,"93066PLA, PLAINE, 19 rue des Ursulines, 93200 SAINT DENIS",FR_93200_RUE DES URSULINES_19_1SS_DPAGE,PAR03152/02_CAA PLAINE,48.9340284,2.353009
Ile de France,93,SAINT-DENIS,"93800 Epinay sur Seine, 93380 Pierrefitte sur Seine, 93200 Saint Denis, 93240 Stains, 93430 Villetaneuse",CPE SAINT-DENIS,93066STD,2 rue Jules Vedrines,93200,SAINT DENIS,"93066STD, CPE SAINT-DENIS, 2 rue Jules Vedrines, 93200 SAINT DENIS",FR_93200_RUE JULES VEDRINES_2_1SS_DPAGE,PAR03154/02_CAASTDENIS3B&2,48.9460582,2.3599839
Ile de France,93,SAINT-OUEN,93400 Saint Ouen,SAINT OUEN,93070STO,20 rue Toulouse Lautrec,93000,SAINT OUEN,"93070STO, SAINT OUEN, 20 rue Toulouse Lautrec, 93000 SAINT OUEN",FR_93400_RUE DE TOULOUSE LAUTREC_20_1SS_DPAGE,PAR03922/02_CAA ST OUEN,48.9011468,2.3288808
Ile de France,93,PANTIN,"93000 Bobigny, 93260 Les Lilas, 93130 Noisy le Sec, 93500 Pantin, 93310 Le Pr_ Saint Gervais, 93230 Romainville",VILLETTE/PANTIN,93055VIL,233 rue Jean Lolive,93500,PANTIN,"93055VIL, VILLETTE/PANTIN, 233 rue Jean Lolive, 93500 PANTIN",FR_93500_RUE JEAN LOLIVE_233_INC_DPAGE,PAR06083-01_CAA VILLETTE,48.8953077,2.4232136
Ile de France,94,ALFORTVILLE,"94140 Alfortville, 94220 Charenton le Pont, 94700 Maisons Alfort, 94410 Saint Maurice",ALFORTVILLE,94002ALF,19 Chemin Lateral,94140,ALFORTVILLE,"94002ALF, ALFORTVILLE, 19 Chemin Lateral, 94140 ALFORTVILLE",FR_94140_CHEMIN LATERAL_19_1_DPAGE,PAR03936/02_CAA ALFORTVILLE,48.8123776,2.4187211
Ile de France,94,CACHAN,"94110 Arcueil, 92220 Bagneux, 92340 Bourg la Reine, 94230 Cachan, 94550 Chevilly Larue, 94250 Gentilly, 94240 L'Hay les Roses",CACHAN,94016CAC,55 avenue Aristide Briand,94230,CACHAN,"94016CAC, CACHAN, 55 avenue Aristide Briand, 94230 CACHAN",FR_94230_AVENUE ARISTIDE BRIAND_153_1SS_DPAGE,PAR05794-01_CAA CACHAN,48.7981328,2.32351
Ile de France,94,CHEVILLY-LARUE,"94550 Chevilly Larue, 94240 L'Hay les Roses, 94310 Orly, 91550 Paray Vieille Poste, 94150 Rungis, 94320 Thiais, 94800 Villejuif, 94400 Vitry sur Seine",CHEVILLY LARUE,94021CHY,232 rue du Petit Leroy,94550,CHEVILLY LARUE,"94021CHY, CHEVILLY LARUE, 232 rue du Petit Leroy, 94550 CHEVILLY LARUE",FR_94550_RUE DU PETIT-LEROY_232_1SS_DPAGE,PAR03961/02_CAA CHEVILLY LA RU,48.7615138,2.3650563
Ile de France,94,CRETEIL,"94000 Creteil, 94700 Maisons Alfort",BOSSUET,94028BOS,36 rue de Plaisance,94000,CRETEIL,"94028BOS, BOSSUET, 36 rue de Plaisance, 94000 CRETEIL",FR_94028_RUE DE PLAISANCE_36_INC_DPAGE,PAR06084-01_CAA BOSSUET,48.7997514,2.4568459
Ile de France,94,CRETEIL,"94380 Bonneuil sur Marne, 94000 Creteil",CRETEIL,94028CRE,27 rue Juliette Savar,94000,CRETEIL,"94028CRE, CRETEIL, 27 rue Juliette Savar, 94000 CRETEIL",FR_94000_RUE JULIETTE SAVAR_27_INC_DPAGE,PAR06085-01_CAA CRETEIL,48.7862302,2.4626349
Ile de France,94,FONTENAY SOUS BOIS,"94120 Fontenay sous Bois, 94130 Nogent sur Marne",FONTENAY,94033FNY,8 All_e Albert Camus,94120,FONTENAY SOUS BOIS,"94033FNY, FONTENAY, 8 All_e Albert Camus, 94120 FONTENAY SOUS BOIS",FR_94120_ALLÄE ALBERT CAMUS_8_INC_DPAGE,PAR06088-01_CAA FONTENAY,48.8505793,2.4765716
Ile de France,94,IVRY SUR SEINE,"94200 Ivry sur Seine, 94270 Le Kremlin Bicetre, 94400 Vitry sur Seine",IVRY SUR SEINE,94041IVR,71 rue Georges Gosnat,94200,IVRY SUR SEINE,"94041IVR, IVRY SUR SEINE, 71 rue Georges Gosnat, 94200 IVRY SUR SEINE",FR_94200_AVENUE GEORGES GOSNAT_71_1SS_DPAGE,PAR03182/02_CAA IVRY 3,48.8138195,2.3898
Ile de France,94,SAINT MAUR DES FOSSÄES,"94500 Champigny sur Marne, 94340 Joinville le Pont, 94100 Saint Maur des Foss_s, 94410 Saint Maurice",GRAVELLE,94068GRA,36 boulevard Rabelais,94100,SAINT MAUR DES FOSSES,"94068GRA, GRAVELLE, 36 boulevard Rabelais, 94100 SAINT MAUR DES FOSSES",FR_94068_BOULEVARD RABELAIS_36_INC_DPAGE,PAR06086-01_CAA GRAVELLE,48.8056363,2.4809401
Ile de France,94,VINCENNES,"94160 Saint Mand_, 94300 Vincennes",DAUMESNIL,94080DAU,3 rue Renon,94300,VINCENNES,"94080DAU, DAUMESNIL, 3 rue Renon, 94300 VINCENNES",FR_94300_RUE RENON_3_1_DPAGE,PAR03193/02_CAA DAUMESNIL 2,48.84701,2.4241346
Ile de France,95,CERGY,"Boissy lAillerie, Cergy, Cormeilles en Vexin, Ennery, Neuville sur Oise, Osny, Pontoise, Vaureal",CERGY,95127CRJ,12 rue Francis Combe,95000,CERGY,"95127CRJ, CERGY, 12 rue Francis Combe, 95000 CERGY",,,49.0444567,2.073634
