region,department,city_code,coverage_cities,co_nickname,ft_co_id,address,zip_code,city,full_address,xng_site_name,xng_site_id,lat,lon
Ile de France,75,PARIS 11,75011 Paris,VOLTAIRE,75111VOL,8 passage St Pierre Amelot,75011,PARIS,"75111VOL, VOLTAIRE, 8 passage St Pierre Amelot, 75011 PARIS",FR_75011_PASSAGE SAINT-PIERRE AMELOT_8_INC_DPAGE,PAR01450/01_CAA VOLTAIRE 4,48.8622882,2.3695558
Ile de France,77,LOGNES,"77600 Bussy Saint Martin, 77420 Champs sur Marne, 77090 Collegien, 77183 Croissy Beaubourg, 77184 Emerainville, 77185 Lognes, 77186 Noisiel, 77200 Torcy",LOGNES,77258LOG,boulevard du Mandinet,77185,LOGNES,"77258LOG, LOGNES, boulevard du Mandinet, 77185 LOGNES",FR_77185_AVENUE DU MANDINET_INC_1_DPAGE,PAR05793-01_CAA LOGNES,48.8367169,2.6301558
Ile de France,78,VELIZY,"78350 Jouy en Josas, 78140 Velizy Villacoublay",VELIZY,78640VEL,11 avenue Louis Breguet,78140,VELIZY VILLACOUBLAY,"78640VEL, VELIZY, 11 avenue Louis Breguet, 78140 VELIZY VILLACOUBLAY",FR_78140_AVENUE LOUIS BREGUET_11_RDC_DPAGE,PAR02331/01_CL4 VELIZY,48.7805015,2.1886565
Ile de France,78,BOIS D ARCY,"78390 Bois d'Arcy, 78330 Fontenay le Fleury, 78180 Montigny le Bretonneux, 78210 Saint Cyr l'Ecole",BOIS D ARCY,78073BOI,8 rue de La Paix,78390,BOIS D'ARCY,"78073BOI, BOIS D ARCY, 8 rue de La Paix, 78390 BOIS D'ARCY",FR_78390_RUE DE LA PAIX_8_1SS_DPAGE,PAR02330/03_CAA BOIS D ARCY,48.8017706,2.0363763
Ile de France,78,GUYANCOURT,"78114 Magny les Hameaux, 78470 Milon la Chapelle, 78180 Montigny le Bretonneux, 78280 Guyancourt, 78960 Voisins le Bretonneux",GUYANCOURT,78297GUY,19 Route de Troux,78280,GUYANCOURT,"78297GUY, GUYANCOURT, 19 Route de Troux, 78280 GUYANCOURT",FR_78280_ROUTE DE TROUX_19_1SS_DPAGE,PAR02320/02_CAA GUYANCOURT,48.7724396,2.058731
Ile de France,78,VERSAILLES,"78350 Jouy en Josas, 78000 Versailles",VERSAILLES,78646VER,2 Impasse des Gendarmes,78000,VERSAILLES,"78646VER, VERSAILLES, 2 Impasse des Gendarmes, 78000 VERSAILLES",FR_78000_IMPASSE DES GENDARMES_2B_1SS_DPAGE,PAR02273/02_CAA VERSAILLES,48.8011156,2.1313511
Ile de France,92,BOULOGNE BILLANCOURT,92100 Boulogne Billancourt,BOULOGNE,92012BGN,57 rue Marcel Dassault,92100,BOULOGNE BILLANCOURT,"92012BGN, BOULOGNE, 57 rue Marcel Dassault, 92100 BOULOGNE BILLANCOURT",FR_92100_RUE MARCEL DASSAULT_57_INC_DPAGE,PAR02550/03_CAA BOULOGNE,48.8348619,2.2515247
Ile de France,92,LA GARENNE COLOMBES,"92270 Bois Colombes, 92700 Colombes, 92250 La Garenne Colombes, 92000 Nanterre",CHARLEBOURG,92035CHA,72 avenue du G_n_ral de Gaulle,92250,LA GARENNE COLOMBES,"92035CHA, CHARLEBOURG, 72 avenue du G_n_ral de Gaulle, 92250 LA GARENNE COLOMBES",FR_92250_AVENUE DU GENERAL DE GAULLE_72_INC_DPAGE,PAR02804/01_CAA CHA 3&4,48.9085843,2.2549012
Ile de France,92,CLAMART,"92290 Chatenay Malabry, 92240 Clamart, 92190 Meudon, 92350 Le Plessis Robinson, 92140 V_lizy Villacoublay",CLAMART-SUD,92023CLA,169 rue de La Porte Trivaux,92140,CLAMART,"92023CLA, CLAMART-SUD, 169 rue de La Porte Trivaux, 92140 CLAMART",FR_92140_RUE DE LA PORTE DE TRIVAUX_169_INC_DPAGE,PAR02675/01_CAA CLAMART 2,48.7893599,2.2522077
Ile de France,92,COURBEVOIE,92400 Courbevoie,DEFENSE,92026DEF,1 Villa Chambon,92400,COURBEVOIE,"92026DEF, DEFENSE, 1 Villa Chambon, 92400 COURBEVOIE",FR_92400_VILLA CHAMBON_1_INC_DPAGE,PAR02935/02_CAA DEFENSE 5 ET 6,48.8988972,2.2582742
Ile de France,92,LEVALLOIS-PERRET,"92300 Levallois Perret, 92200 Neuilly sur Seine",LEVALLOIS,92044LEV,27 rue Anatole France,92300,LEVALLOIS PERRET,"92044LEV, LEVALLOIS, 27 rue Anatole France, 92300 LEVALLOIS PERRET",FR_92300_RUE ANATOLE FRANCE_27_RDC_DPAGE,PAR02822/01_CL4 LEVALLOIS,48.8892934,2.2875258
