building_id,s_ocn,cust_name,man_employee_total,db_country_name,db_nace_code,db_employee_here,db_employee_total,db_sic_code,db_industry,db_industry_level_1,db_industry_level_2,db_industry_level_3,gl_revenue_year_2014,db_duns,sfdc_account_name,carrier_voice,colocation,colt_total,customer_asset_sales_data,customer_asset_sales_managed_services,data_centre_services,data_centre_services_installation_adjustment,data_installation_adjustment,dedicated_hosting,ethernet_point_to_point,ethernet_vpn,high_speed_service,incoming,in_services,intercompany_voice,internet_access,ip_voice,ipvpn_corporate,link,managed_service_installation_adjustment,other_bandwidth,other_misc_data,other_voice,professional_services,reseller_voice,shared_hosting,voice_connect,voice_line,others,channel
DEBAD-0000002308,GLO05,GLOBAL CROSSING LTD.,5250,BERMUDA,0,0,5250,6719,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",67 - Holding & Other Investment Offices,Offices of holding companies N.E.C.,1329260.21,875662272,GLOBAL CROSSING LTD.,0,0,0,0,0,0,0,0,0,314014.4,129078.51,0,0,622713.83,0,0,0,0,250666.28,0,7799.99,4795.2,0,0,0,0,0,192,0,STRATEGIC
DEBAD-0000002308,MCI01,VERIZON DEUTSCHLAND GMBH,0,GERMANY,74.87,0,0,7389,Services,70..89 - Services,73 - Business Services,Business services N.E.C.,3181898.48,332710136,Verizon Deutschland GmbH,687748.62,2658.82,0,0,0,0,0,0,0,1389629.2,652328.54,0,5959.26,0,0,57240,0,0,376545.46,0,0,9788.58,0,0,0,0,0,0,0,WHOLESALE
DEBAD-0000002308,MNE01,M''NET TELEKOMMUNIKATIONS GMBH,0,GERMANY,45.23,0,0,1623,Construction,15..17 - Construction,16 - Heavy Construction Other than Building Construction - Contractors,"Pipeline, comm. & powerline construction",1688973.16,330105912,M-net Telekommunikations GmbH,1389129.75,0,0,0,0,0,0,0,0,183435.41,101764.96,0,-218.84,0,0,0,0,0,14231.92,0,0,0,0,629.96,0,0,0,0,0,WHOLESALE
DEBAD-0000002308,VIA02,BT (GERMANY) GMBH & CO. OHG,1130,GERMANY,64.2,0,1130,4813,"Transportation, Communications, Electric, Gas & Sanitary Services","40..49 - Transportation, Communications, Electric, Gas & Sanitary Services",48 - Communications,Phone communications exc. Radiotelephone,8075316,314718771,BT (Germany) GmbH & Co. OHG,4637566.61,15360,0,0,0,0,0,0,0,1402928.31,737474.05,0,2411.56,0,0,151038.8,0,0,969011.24,0,108490.69,51034.74,0,0,0,0,0,0,0,STRATEGIC
DEBAD-0000004790,526075,FERI FINANCE AG,63,GERMANY,74.15,0,63,6719,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",67 - Holding & Other Investment Offices,Offices of holding companies N.E.C.,22346.29,314276218,Feri AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10512.27,0,0,0,0,0,0,0,0,0,0,0,11834.02,0,AGENTS
DEBAD-0000004790,UNKNOWN OCN,FERI AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBAD-0000006897,A0148617,EXPERTIME GMBH & CO. KG,2,0,0,0,0,0,0,0,0,0,4548,0,Expertime GmbH & Co. KG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4548,0,0,0,0,0,0,0,0,0,0,0,0,0,AGENTS
DEBAD-0000007664,523550,ARCOR AG & CO.,4200,GERMANY,0,4100,4200,4813,"Transportation, Communications, Electric, Gas & Sanitary Services","40..49 - Transportation, Communications, Electric, Gas & Sanitary Services",48 - Communications,Phone communications exc. Radiotelephone,1873839.05,313204125,ARCOR AG & Co. KG,0,0,0,0,0,0,0,0,0,61494.47,0,0,0,0,0,0,0,0,1574645.47,0,237399.11,0,0,300,0,0,0,0,0,WHOLESALE
DEBAD-0000007664,DE25774,FRESENIUS NETCARE GMBH,130,GERMANY,0,0,130,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,115464.72,314475182,Fresenius Netcare GmbH,0,0,0,0,0,0,0,0,0,78776.01,0,0,0,0,0,29497.52,0,0,0,0,0,0,0,-0.01,0,0,0,7191.2,0,DIRECT
DEBAD-0000008144,DE25774,FRESENIUS NETCARE GMBH,130,GERMANY,0,0,130,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,115464.72,314475182,Fresenius Netcare GmbH,0,0,0,0,0,0,0,0,0,78776.01,0,0,0,0,0,29497.52,0,0,0,0,0,0,0,-0.01,0,0,0,7191.2,0,DIRECT
DEBAD-0000008329,GLO05,GLOBAL CROSSING LTD.,5250,BERMUDA,0,0,5250,6719,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",67 - Holding & Other Investment Offices,Offices of holding companies N.E.C.,1329260.21,875662272,GLOBAL CROSSING LTD.,0,0,0,0,0,0,0,0,0,314014.4,129078.51,0,0,622713.83,0,0,0,0,250666.28,0,7799.99,4795.2,0,0,0,0,0,192,0,STRATEGIC
DEBAD-0000008338,DE43313,UHDE GMBH DORTMUND,2000,GERMANY,72.22,0,2000,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,2025025.29,328200803,tm Mittelstand GmbH,23429.81,18563.94,592.93,0,0,0,0,0,50,376963.86,105432.51,87741.33,0,10647.42,0,896686.36,-5967.11,0,58421.44,0,61252.65,44692.27,0,1146.54,36919.77,31713.27,0,276738.3,0,FRANCHISE
DEBAD-0000009405,4146348,JOHANNITER-UNFALL-HILFE E.V.,12100,GERMANY,85.14,0,12100,8099,Services,70..89 - Services,80 - Health Services,Health & allied services N.E.C.,1063449.47,315995696,Johanniter-Unfall-Hilfe e.V.,0,16217.99,0,0,0,0,0,0,165412.67,0,0,0,0,0,0,4350,0,876268.71,0,0,0,0,0,1200,0,0,0.1,0,0,AGENTS
DEBAD-0000010522,ATT05,AT&T GLOBAL NETWORK SERVICES DEUTSCHLAND GMBH,0,GERMANY,74.87,0,0,7389,Services,70..89 - Services,73 - Business Services,Business services N.E.C.,13654384.02,342844359,AT&T Global Network Services Deutschland GmbH,0,1039999.96,0,0,0,0,0,0,0,1604507.51,8249212.48,0,0,0,0,267961.65,0,441603.72,1150361.06,0,814926,31625.57,0,54136.6,40.2,0,0,9.27,0,STRATEGIC
DEBAD-0000010522,DE10077,LILLY DEUTSCHLAND GMBH,930,GERMANY,24.41,0,930,2834,Manufacturing,20..39 - Manufacturing,28 - Chemicals & Allied Products,Pharmaceutical preparations,83836.5,318666443,LILLY Deutschland GmbH,0,0,0,0,0,0,0,0,0,0,0,0,0,41296.8,0,0,0,0,0,0,0,0,0,0,0,0,5692.39,36847.31,0,AGENTS
DEBAD-0000010522,DE70777,MONOTYPE GMBH,48,GERMANY,92.51,48,48,8231,Services,70..89 - Services,82 - Educational Services,Libraries,64319.75,537239931,Monotype GmbH,0,28416,0,0,0,0,0,0,0,0,0,0,0,0,0,35711.75,0,0,0,0,0,0,0,0,0,0,0,192,0,DIRECT
DEBAD-0000010771,666110,ISION GMBH,148,GERMANY,64.2,0,148,4813,"Transportation, Communications, Electric, Gas & Sanitary Services","40..49 - Transportation, Communications, Electric, Gas & Sanitary Services",48 - Communications,Phone communications exc. Radiotelephone,762817.13,313491854,Nexinto GmbH,0,0,0,0,0,0,0,0,0,242693.81,381701.47,0,0,0,0,19477.42,0,106627.44,1979.81,0,0,450,9887.18,0,0,0,0,0,0,WHOLESALE
DEBAD-0000010771,4205232,BRIDGESTONE DEUTSCHLAND GMBH,303,GERMANY,50.3,0,303,5014,Wholesale Trade,50..51 - Wholesale Trade,50 - Wholesale Trade - Durable Goods,Tires & tubes,11113,316679786,Bridgestone Deutschland GmbH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11113,0,0,0,0,0,0,0,0,0,0,0,0,0,DIRECT
DEBAD-0000012394,3561824,EU ESD DATA (COLT)01,0,0,0,0,0,0,0,0,0,0,0,0,EU ESD DATA (COLT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COLT
