company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon,country
Towers Watson GmbH,Towers Watson GmbH,Eschersheimer Landstr. 50,,60322,Frankfurt am Main,8748,87,Sonstige Beratungsdienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,740,Large 250 +, 50.1213400   , 8.6720600   ,Germany
Toyoko Inn Germany GmbH,Toyoko Inn Germany GmbH,Moselstr. 27,,60329,Frankfurt am Main,8712,87,Architektendienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,10,Small 10 - 49, 50.1080706   , 8.6713871   ,Germany
TP-Ingenieur GBR,TP-Ingenieur GBR,Savignystr. 55,,60325,Frankfurt am Main,8711,87,Technische Dienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,18,Small 10 - 49, 50.1156250   , 8.6690280   ,Germany
Trade Force GmbH,Trade Force GmbH,Hanauer Landstr. 293a,,60314,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,30,Small 10 - 49, 50.1119900   , 8.7128595   ,Germany
Tradefinity Maintenance GmbH,Tradefinity Maintenance GmbH,Eschborner Landstr. 42-50,,60489,Frankfurt am Main,7378,73,Computerwartung und -reparatur,Business Services,Services,20,Small 10 - 49, 50.1235583   , 8.6078369   ,Germany
Tradium GmbH,Tradium GmbH,Gerauer Str. 18,,60528,Frankfurt am Main,5051,50,"Metallwaren, Röhren u. Stahlbehälter, Kugellager, Wälzlager",Wholesale Trade - Durable Goods,Wholesale & retail trade,15,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
Tradui Technologies GmbH,Tradui Technologies GmbH,Friedensstr. 6-10,,60311,Frankfurt am Main,7379,73,Sonstige Dienstleistungen auf dem Computersektor,Business Services,Services,15,Small 10 - 49, 50.1104028   , 8.6913868   ,Germany
traffiQ Lokale Nahverkehrsgesellschaft Frankfurt am Main mbH,traffiQ Lokale,Stiftstr. 9-17,,60313,Frankfurt am Main,4131,41,"Intercity-Buslinien, Überlandverkehrsbetriebe","Local, Suburban Transit & Interurbn Hgwy Passenger Transport",Transportation and Public Utilities,72,Medium 50 - 249, 50.1146717   , 8.6752405   ,Germany
Transdev Rhein-Main GmbH,Transdev Rhein-Main GmbH,Flinschstr. 22,,60388,Frankfurt am Main,4131,41,"Intercity-Buslinien, Überlandverkehrsbetriebe","Local, Suburban Transit & Interurbn Hgwy Passenger Transport",Transportation and Public Utilities,340,Large 250 +, 50.1367800   , 8.7429000   ,Germany
TRANSNET Gewerkschaft GdED,TRANSNET Gewerkschaft GdED,Weilburger Str. 24,,60326,Frankfurt am Main,8631,86,Gewerkschaften u. Arbeiterverbände,Membership Organizations,Services,385,Large 250 +, 50.1051310   , 8.6149319   ,Germany
Transportunternehmen Birkenfeld,Transportunternehmen,Heddernheimer Landstr. 134,,60439,Frankfurt am Main,4213,42,Straßengüterfernverkehr,Motor Freight Transportation,Transportation and Public Utilities,13,Small 10 - 49, 50.1599900   , 8.6454900   ,Germany
Trautmann GmbH & Co. KG,Trautmann GmbH & Co. KG,Salzschlirfer Str. 9,,60386,Frankfurt am Main,1629,16,Sonstige Schwerkonstruktionen,"Heavy Cnstrctn, Except Building Construction - Contractors",Construction,19,Small 10 - 49, 50.1299030   , 8.7527319   ,Germany
Travelex (Deutschland) GmbH,Travelex (Deutschland) GmbH,"Flughafen Frankfurt, Termin 0l",,60547,Frankfurt am Main,6099,60,Sonstige Anlagendienste,Depository Institutions,"Finance, Insurance, and Real Estate",60,Medium 50 - 249, 50.0379326   , 8.5621518   ,Germany
trendtours Touristik GmbH,trendtours Touristik GmbH,Rennbahnstr. 72-74,,60528,Frankfurt am Main,4724,47,Reisebüros,Transportation Services,Transportation and Public Utilities,15,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
TRESTLE GmbH,TRESTLE GmbH,Friedrich-Ebert-Anlage 36,,60325,Frankfurt am Main,7379,73,Sonstige Dienstleistungen auf dem Computersektor,Business Services,Services,20,Small 10 - 49, 50.1156250   , 8.6690280   ,Germany
Treu-GmbH Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft,Treu-GmbH,Lyoner Str. 44-48,,60528,Frankfurt am Main,8721,87,"Buchhaltungs-, Wirtschafts- u. Steuerprüfungsbüros","Engineering, Accounting, Research, Management & Related Svcs",Services,10,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
Treuhandverwaltung IGEMET GmbH,Treuhandverwaltung IGEMET GmbH,Wilhelm-Leuschner-Str. 83,,60329,Frankfurt am Main,6733,67,"Stiftungen außer kulturellen, religiösen u. wohltätigen",Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",20,Small 10 - 49, 50.1080706   , 8.6713871   ,Germany
